,Unnamed: 0,title,genre,rating,views,year,duration
106,10895,Dark Victory,Drama,7.4,13277,1939,104
107,10908,Destry Rides Again,Comedy,7.6,13334,1939,95
108,11015,Gone with the Wind,Drama,8.2,353076,1939,238
109,11017,"Goodbye, Mr. Chips",Drama,7.9,12222,1939,114
110,11029,Gunga Din,Adventure,7.2,13515,1939,117
111,11062,The Hound of the Baskervilles,Crime,7.4,12675,1939,80
112,11065,The Hunchback of Notre Dame,Drama,7.8,13129,1939,116
113,11106,Jamaica Inn,Adventure,6.3,12083,1939,98
114,11227,Mr. Smith Goes to Washington,Comedy,8.1,128408,1939,129
115,11260,Ninotchka,Comedy,7.8,24540,1939,110
116,11284,Only Angels Have Wings,Adventure,7.6,16976,1939,121
117,11351,The Roaring Twenties,Crime,7.9,17116,1939,106
118,11364,The Rules of the Game,Comedy,7.9,33099,1939,110
119,11401,Son of Frankenstein,Drama,7.1,13152,1939,99
120,11419,Stagecoach,Adventure,7.8,57947,1939,96
121,11541,The Wizard of Oz,Adventure,8.1,462142,1939,102
122,11546,The Women,Comedy,7.7,15933,1939,133
123,11547,Wuthering Heights,Drama,7.5,21329,1939,104
124,11763,Fantasia,Animation,7.7,110070,1940,124
125,11783,Foreign Correspondent,Action,7.4,25658,1940,120
126,11826,The Grapes of Wrath,Drama,8.1,107361,1940,129
127,11827,The Great Dictator,Comedy,8.4,256963,1940,125
128,11863,His Girl Friday,Comedy,7.8,67121,1940,92
129,11936,The Letter,Crime,7.5,15687,1940,95
130,11982,The Mark of Zorro,Action,7.5,11763,1940,94
131,12078,The Philadelphia Story,Comedy,7.8,77802,1940,112
132,12081,Pinocchio,Adventure,7.5,170443,1940,88
133,12114,Rebecca,Drama,8.1,161323,1940,130
134,12152,The Sea Hawk,Action,7.6,11419,1940,127
135,12165,The Shop Around the Corner,Comedy,8.0,43479,1940,99
136,12239,The Thief of Bagdad,Adventure,7.4,15590,1940,106
137,12300,Waterloo Bridge,Drama,7.7,11687,1940,108
138,12384,Ball of Fire,Comedy,7.7,15595,1941,111
139,12457,Citizen Kane,Drama,8.2,489677,1941,119
140,12518,Dr. Jekyll and Mr. Hyde,Drama,6.8,10672,1941,113
141,12527,Dumbo,Adventure,7.2,149899,1941,64
142,12635,High Sierra,Action,7.5,20761,1941,100
143,12645,How Green Was My Valley,Drama,7.7,28653,1941,118
144,12704,The Lady Eve,Comedy,7.7,25086,1941,94
145,12730,The Little Foxes,Drama,7.9,13973,1941,116
146,12756,The Maltese Falcon,Crime,7.9,173061,1941,100
147,12772,Meet John Doe,Comedy,7.6,16190,1941,122
148,12794,Mr. & Mrs. Smith,Comedy,6.3,12102,1941,95
149,12955,Sergeant York,Biography,7.7,21002,1941,134
150,13004,Sullivan's Travels,Adventure,7.9,30387,1941,90
